nombre,categoria,tiempo,dificultad,porciones,ingredientes,pasos,img
ARROZ A LA MAYONESA,guarniciones,25 mins,Baja,4,"['4 tazas de agua', '1/4 cebollas', '1 ajo', 'suficiente de sal', 'suficiente de aceite vegetal', '2 tazas de arroz, previamente enjuagado en agua tibia y escurrido', '1 taza de zanahoria, en cubos', '1 taza de chícharo', '1 taza de McCormick® Balance Mayonesa con aceite de aguacate', '1 taza de queso manchego, rallado', 'al gusto de perejil, picado, para decorar']","['Licúa el agua, la cebolla, el ajo y la sal. Reserva.', 'Calienta una cacerola a fuego alto, vierte aceite vegetal y sofríe el arroz por 3 minutos o hasta que esté ligeramente dorado. Agrega lo que licuaste y tapa. Cuando el agua hierva, baja la temperatura, agrega los vegetales y continúa cocinando por 15 minutos, aproximadamente.', 'Una vez que esté cocido, retira del calor y enfría.', 'En un tazón, mezcla el arroz, casi todo el queso manchego y McCormick® Balance Mayonesa con aceite de aguacate.', 'En un molde apto para horno, añade el queso que reservaste y hornea el arroz a la mayonesa a 200 °C por 5 minutos o hasta que la capa de arriba se dore ligeramente.', 'Sirve el arroz a la mayonesa caliente y decora con perejil.']",https://cdn7.kiwilimon.com/brightcove/9988/9988.jpg
CACEROLA DE VERDURAS GRATINADAS,guarniciones,30 mins,Baja,6,"['suficiente de aceite vegetal', '1 taza de cebolla morada, en cubos grandes', '3 tazas de champiñón, a la mitad', '2 tazas de pimiento verde, en cubos grandes', '2 tazas de pimiento rojo, en cubos grandes', '1 1/2 tazas de zanahoria, en rodajas', '1 taza de coliflor, en ramilletes', '1 cucharada de orégano', 'suficiente de sal', 'suficiente de pimienta', '1 taza de McCormick® Balance Mayonesa con Aceite de Ajonjolí, para el gratinado', '2 cucharadas de fécula de maíz, para el gratinado', '2 tazas de queso manchego, rallado, para el gratinado', '1/4 cucharaditas de nuez moscada, para el gratinado', 'suficiente de sal, para el gratinado', 'suficiente de pimienta, para el gratinado', '2 cucharadas de eneldo, finamente picado', 'al gusto de eneldo, en ramitas']","['Calienta una olla a temperatura media y agrega el aceite vegetal, la cebolla morada, los champiñones, los pimientos, la zanahoria y la coliflor. Sazona con orégano, sal y pimienta. Cocina por 8 minutos aproximadamente, luego retira del calor y reserva.', 'Mezcla McCormick® Balance Mayonesa con Aceite de Ajonjolí, la fécula de maíz, el queso manchego, la nuez moscada, el eneldo, la sal y la pimienta en un tazón.', 'Pasa las verduras a un refractario y vierte sobre ellos la mezcla de McCormick® Balance Mayonesa con Aceite de Ajonjolí. Tapa con aluminio.', 'Hornea las verduras a 200 °C por 10 minutos, retira el aluminio y hornea por 5 minutos más o hasta que la superficie esté dorada.', 'Sirve las verduras gratinadas directamente del refractario y decora con ramitas de eneldo.']",https://cdn7.kiwilimon.com/brightcove/9968/9968.jpg
CHAYOTES A LA CREMA,guarniciones,20 mins,Baja,6,"['2 cucharadas de mantequilla', '1 taza de cebolla, finamente picada', '1 taza de tocino', '1 taza de jamón, grueso, picado en cubos chicos', '3 chiles de árbol, sin semillas, en tiritas', '4 chayotes, en cubos', 'suficiente de sal', 'suficiente de pimienta', '1 taza de crema ácida', '1 taza de queso crema, en cubitos', '2 tazas de queso fresco, tipo panela, en cubos', 'suficiente de cebollín, finamente picado, para decorar']","['Calienta una sartén semiprofunda y grande a fuego medio, agrega la mantequilla y la cebolla y sofríe por 3 minutos. Añade el tocino y el jamón, luego sofríe hasta dorar. Incorpora el chile de árbol y el chayote. Sazona con sal y pimienta y tapa. Baja el fuego y cocina por 15 minutos.', 'Cuando el chayote esté suave, agrega la crema y el queso crema, mezcla y cocina por 5 minutos más o hasta obtener una textura semiespesa.', 'Agrega el queso fresco y retira del calor.', 'Sirve los chayotes a la crema calientes y decora con un poco de cebollín picado.']",https://cdn7.kiwilimon.com/brightcove/9946/9946.jpg
PAPAS AL AJO EN FREIDORA DE AIRE,botanas,30 mins,Baja,4,"['20 papas cambray', 'suficiente de aceite de oliva, para macerar las papas', 'suficiente de sal, para macerar las papas', 'suficiente de pimienta, para macerar las papas', '1 cucharada de ajo en polvo', '1/4 tazas de eneldo, para macerar las papas', '1 taza de mantequilla, derretida', '2 cucharadas de ajo, finamente picado', '1/4 cucharaditas de ajo en polvo', '1/4 cucharaditas de pimienta negra', '1/2 tazas de queso parmesano, en polvo', 'al gusto de queso parmesano, rallado, para decorar', 'al gusto de perejil, finamente picado, para decorar']","['Corta las papas cambray por la mitad y pásalas a un tazón.', 'Agrega el aceite de oliva, la sal, la pimienta, el ajo en polvo y el eneldo al tazón de las papas. Deja reposar por 5 minutos.', 'Mientras las papas se marinan, mezcla la mantequilla derretida, el ajo picado , el ajo en polvo, la pimienta negra y el queso parmesano en un tazón. Reserva.', 'Forra la charola de la freidora de aire con aluminio, vierte la mantequilla preparada y coloca las papitas. Cierra.', 'Cocina las papas al ajo en la freidora de aire por 25 minutos.', 'Retira las papas al ajo de la freidora de aire y sirve con queso parmesano rallado y un poco de perejil picado.']",https://cdn7.kiwilimon.com/brightcove/9944/9944.jpg
RAJAS CON QUESO EN SALSA VERDE,guarniciones,20 mins,Baja,4,"['suficiente de Aceite de Oliva Virgen Extra europeo®', '1/8 cebollas', '1 diente de ajo', '6 tomates verdes, cortados en cuartos, para la salsa', '1 chile serrano', '1/4 cucharadas de semilla de cilantro', '1/2 cucharaditas de comino', '1/2 tazas de caldo de vegetales', 'suficiente de sal', 'suficiente de Aceite de Oliva Virgen Extra europeo®', '1 taza de cebolla, fileteada', '3 tazas de rajas poblanas', '1 ramita de epazote', 'suficiente de sal', '1 1/2 tazas de queso manchego, en cubos', 'suficiente de cilantro, hojas pequeñas', 'suficiente de tortilla, para acompañar']","['Para la salsa: calienta una sartén a fuego medio, agrega Aceite de Oliva Virgen Extra europeo®, la cebolla y el diente de ajo y sofríe por unos minutos. Agrega el tomate verde, chile serrano y sofríe por 5 minutos más. Cocina hasta terminar de integrar los sabores.', 'Licúa la salsa con el caldo de verduras, agrega las semillas de cilantro y el comino Regresa la salsa a la sartén y sofríe unos minutos más. Reserva caliente.', 'Para las rajas: calienta una sartén a fuego medio, añade Aceite de Oliva Virgen Extra europeo®, la cebolla y las rajas y sofríe por 5 minutos hasta que los ingredientes se suavicen.', 'Sirve las rajas con los cubos de queso y vierte la salsa calientita sobre ellas para que el queso se derrita ligeramente y agrega un Aceite de Oliva Virgen Extra europeo®. ¡Saborea la Vida! Acompaña con tortillas.']",https://cdn7.kiwilimon.com/brightcove/9892/9892.jpg
GRATÍN DE CALABAZA,guarniciones,25 mins,Baja,6,"['2 tazas de Espinaca Hidropónica Eva®', '2 cucharadas de Aceite de cacahuate tostado Inés®', '1 cucharadita de ajo, finamente picado', '1/4 tazas de cebolla, finamente picada', '3 tazas de calabaza, en rebanadas', 'suficiente de sal', 'suficiente de pimienta', '5 huevos', '1 taza de crema para batir', '1 taza de leche', '2 tazas de queso manchego, rallado', '1 taza de queso de cabra, desmoronado', '1 taza de queso parmesano, rallado', '1 cucharadita de ajo en polvo', '1 cucharadita de nuez moscada', 'suficiente de sal', 'suficiente de pimienta', 'suficiente de cebollín, finamente picado, para decorar']","['Corta la Espinaca Hidropónica EVA® en tiras delgadas y reserva.', 'Calienta el Aceite de cacahuate tostado Inés® en una sartén a fuego medio, agrega el ajo y la cebolla y cocina por 2 minutos. Posteriormente, incorpora la espinaca y la calabaza, luego sazona con sal, pimienta y cocina por 2 minutos más. Retira del fuego y reserva.', 'Añade el huevo, la crema para batir, la leche, el queso manchego, el queso de cabra, el queso parmesano, el ajo en polvo, la nuez moscada, la sal y la pimienta en un bowl. Mezcla con un batidor globo y cuando todos los ingredientes estén bien integrados, agrega las calabazas con espinacas e incorpora con una espátula. Coloca la mezcla en un refractario y hornea a 180 °C por 30 minutos.', 'Retira el gratín de calabaza del horno cuando esté dorado y sirve en el mismo refractario. Decora con cebollín picado y disfruta caliente.']",https://cdn7.kiwilimon.com/brightcove/9645/9645.jpg
ARROZ NAVIDEÑO,recetas-navidenas,30 mins,Baja,4,"['2 cucharadas de aceite vegetal', '1 diente de ajo', '1/4 cebollas', '1 taza de arroz, remojado', '1 taza de caldo de pollo', '1 taza de vino blanco', 'suficiente de sal', 'suficiente de pimienta', '1/3 tazas de pimiento rojo, en cubos pequeños', '1/3 tazas de pimiento verde, en cubos pequeños', '1/3 tazas de almendra, fileteada', '1/3 tazas de arándano deshidratado', '1/3 tazas de nuez, finamente picada', '1/3 tazas de tocino, finamente picado, cocido', 'al gusto de cilantro, finamente picado', 'al gusto de arándano deshidratado, para decorar', 'al gusto de romero, para decorar']","['Calienta el aceite vegetal en una sartén honda, sofríe el ajo y la cebolla y una vez que estén transparentes, agrega el arroz y cocina hasta que cambie de color. Posteriormente, vierte el caldo de pollo y el vino blanco y sazona con sal y pimienta. Mezcla, tapa y cocina el arroz por 15 minutos.', 'Una vez que el líquido se haya consumido, añade el pimiento rojo, el pimiento verde, las almendras, los arándanos deshidratados, la nuez, el tocino y el cilantro. Integra de forma envolvente y cocina por 5 minutos.', 'Rectifica la sazón y retira del fuego', 'Coloca el arroz navideño en un refractario o molde circular, cubre con plástico adherente y presiona para que quede compacto. Reposa por 10 minutos.', 'Desmolda el arroz navideño sobre un plato y decora con arándanos deshidratados y romero.']",https://cdn7.kiwilimon.com/brightcove/9725/9725.jpg
FRIJOLES CON CHORIZO Y QUESO,guarniciones,20 mins,Baja,8,"['suficiente de aceite vegetal, para freír', '1/4 tazas de cebolla, en tiritas', '2 tazas de frijol, cocido', 'suficiente de aceite vegetal', '1 taza de chorizo, en trozos medianos', '1/4 tazas de jalapeño, en rodajas', '1/2 tazas de queso manchego, desmoronado, para decorar', '1 chile serrano, toreado, para decorar', 'suficiente de totopos, para acompañar']","['Agrega el aceite vegetal y con la cebolla en una sartén a fuego medio. Cocina hasta que la cebolla obtenga un tono transparente, incorpora los frijoles sin caldo, comienza a machacar hasta alcanzar la consistencia deseada y rectifica la sazón. Cocina los frijoles durante 5 minutos y reserva.', 'Calienta el aceite en otra sartén a temperatura media e incorpora el chorizo, luego utiliza una pala de madera para deshacer el chorizo hasta que queden trocitos pequeños y agrega el chile jalapeño. Incorpora muy bien todos los ingredientes y cocina durante 5 minutos, hasta que el chorizo esté bien cocido.', 'Añade los frijoles al chorizo y mezcla perfectamente. Cocina por 2 minutos, enseguida espolvorea el queso manchego hasta que cubra bien el chorizo y hornea por 5 minutos o hasta que el queso se gratine.', 'Decora los frijoles con chorizo y queso con chile serrano y acompaña con totopos.']",https://cdn7.kiwilimon.com/brightcove/9571/9571.jpg
PAPAS GRATINADAS CON JAMÓN,guarniciones,,Baja,8,"['4 papas', '500 mililitros de crema', '300 gramos de queso manchego', '100 gramos de mantequilla', '150 gramos de jamón']","['En una olla poner las papas a pre cocer en agua.', 'Una vez listas, cortar las papas en rodajas.', 'En un refractario poner una capa de papas, mantequilla, crema, sal, pimienta, queso manchego y jamón. Repetir el proceso hasta acabar de poner todas las rodajas de papa.', 'Tapar el refractario con papel aluminio y meter al horno 10 minutos a 180°C.', 'Retirar el aluminio y dejar 10 minutos más.', 'Servir.']",https://cdn7.kiwilimon.com/brightcove/3982/3982.jpg
ENSALADA DE PAPA Y ATÚN,ensaladas,10 mins,Baja,4,"['suficiente de agua', '2 tazas de papa, en cubos medianos', '1 taza de cebolla, finamente picada', '1 taza de jitomate, en cubos medianos', '1/2 tazas de aceituna verde, en rodajas', '1 taza de atún en lata, drenado', '1/4 tazas de jugo de limón', 'suficiente de sal', 'suficiente de pimienta', '1/2 tazas de aceite de oliva', '1 taza de aguacate, en cubos, para decorar', '1 huevo, duro, rebanado, para decorar']","['Hierve suficiente agua con sal en una olla, cocina las papas por 10 minutos, aproximadamente, y asegúrate de que estén bien cocidas, pero firmes. Retira del calor, cuela y deja enfriar.', 'Mezcla la papa cocida, el jitomate, las aceitunas y el atún en un tazón, después agrega el jugo de limón, la sal, la pimienta y el aceite de oliva. Incorpora bien todos los ingredientes.', 'Sirve la ensalada de papa y atún en un tazón y decorar con aguacate y rebanadas de huevo cocido.']",https://cdn7.kiwilimon.com/brightcove/9527/9527.jpg
¿CÓMO HACER ARROZ PARA SUSHI?,faciles,19 mins,Baja,8,"['2 tazas de arroz para sushi', 'suficiente de agua, para lavar el arroz', '2 tazas de agua, para cocinar el arroz', '1/4 tazas de vinagre de arroz, para sazonar', '3 cucharadas de mirin, para sazonar', '1 cucharada de azúcar, para sazonar', '1 cucharadita de sal, para sazonar']","['¡Utiliza arroz para sushi! Este arroz contiene más almidón que el arroz que tienes en casa y ayuda a formar los rollos de sushi, conos o esferas, ya que se pega mejor. Antes de cocinarlo, es recomendable enjuagarlo en agua fría al menos 3 veces, cúbrelo con agua, mueve con una palita hasta quitar el exceso de almidón, impurezas o arroces viejos, pues flotarán en la superficie. Notarás como el agua se clarifica en cada lavada. Escurre.', 'Coloca las 2 tazas de arroz con 2 tazas de agua fría en una olla. Es importante mencionar que para cocinar el arroz para sushi, siempre usarás cantidades iguales de arroz por agua, así que no hay ninguna falla en el cálculo. Ahora tapa y cocina a fuego medio-alto por 11 minutos; es importante no destapar.', 'Pasado el tiempo, baja el fuego al mínimo y cocina por 8 minutos más sin destapar. Ahora, apaga el fuego y deja reposar por 2 minutos. Destapa y reserva.', 'Una vez listo tu arroz para sushi, mezcla el vinagre de arroz con el mirin, el azúcar y la sal hasta integrar muy bien. Reserva.', 'Coloca el arroz para sushi aún caliente en un tazón amplio, separa los granos con una palita de madera, enfría el arroz poco a poco, vierte le mezcla de vinagre y termina de integrar. Ahora solo deja enfríar. Una vez frío el arroz, utilízalo para rellenar con los ingredientes que prefieras y preparar rollos de sushi en casa.']",https://cdn7.kiwilimon.com/brightcove/9494/9494.jpg
GUACAMOLE CON CAMARONES PICOSITOS,botanas,4 mins,Baja,8,"['1/4 tazas de agua, para la salsa', '1 diente de ajo, para la salsa', '1/4 cebollas, para la salsa', '2 chiles guajillos, sin semilla e hidratados, para la salsa', '2 cucharadas de salsa inglesa, para la salsa', '1 cucharada de salsa de soya, para la salsa', '4 cucharadas de Salsa Huichol® Picante, para la salsa', '1 cucharada de jugo de limón, para la salsa', 'suficiente de sal, para la salsa', 'suficiente de pimienta, para la salsa', '3 tazas de camarón, limpio', '2 cucharadas de aceite de oliva, para los camarones', '6 aguacates, maduro, sin cascara y hueso, para el guacamole', '3 chiles serranos, en rodajas, para el guacamole', '1/4 cebollas, finamente picada, para el guacamole', '1/2 tazas de cilantro, para el guacamole', '3 cucharadas de jugo de limón, para el guacamole', 'suficiente de sal, para el guacamole', 'suficiente de pimienta, para el guacamole', 'suficiente de hoja de cilantro, para decorar']","['Para la salsa: licúa el agua, el ajo, la cebolla, el guajillo, la salsa inglesa, la salsa de soya, la Salsa Huichol® Picante, el jugo de limón, la sal y la pimienta a velocidad media. Reserva.', 'Posteriormente, coloca los camarones en un bowl, vierte la salsa, deja marinar por 30 minutos.', 'Calienta el aceite en una sartén a fuego medio y cocina los camarones durante 4 minutos de cada lado. Retira del fuego y reserva.', 'Para el guacamole: coloca el aguacate en un mortero y comienza a deshacer hasta formar una pasta; recuerda que puedes utilizar una batidora de brazo eléctrico, si así lo deseas. Posteriormente, agrega el chile serrano, la cebolla, el cilantro, el jugo de limón y sazona con sal y pimienta. Finalmente, integra perfectamente con ayuda de una cuchara y listo.', 'Vierte el guacamole en un tazón o en un molcajete, decora con las hojas de cilantro y acomoda los camarones alrededor del tazón o molcajete. ¡Disfruta de este guacamole con camarones picositos!']",https://cdn7.kiwilimon.com/brightcove/9344/9344.jpg
PAPAS A LA MEXICANA,guarniciones,20 mins,Baja,6,"['3 papas', 'suficiente de aceite vegetal', '1 taza de cebolla, en cubos medianos', '1 cucharada de ajo, finamente picado', '2 tazas de chorizo, en trozos', '1 1/2 tazas de jitomate, en cubos medianos', '2 chiles serranos, en rodajas', 'suficiente de sal', 'suficiente de pimienta', '2 tazas de queso Oaxaca, desmenuzado', 'al gusto de tortillas de maíz', 'al gusto de salsa verde']","['Pela las papas y corta en cubos medianos. Colócalas en agua fría para que no se oxiden y reserva hasta su uso.', 'Calienta un poco de aceite de oliva en una sartén profundo a fuego medio y cocina los cubos de papa hasta que se doren, por aproximadamente 10 minutos, mueve ocasionalmente. Una vez doradas, retira las papas del sartén y reserva.', 'Vierte un poco más de aceite en la misma sartén y sofríe la cebolla y el ajo a fuego medio. Una vez que tengan un tono brillante añade el chorizo y fríe, usa una cuchara para deshacer el chorizo en pedacitos más pequeños. Cuando comience a obtener un tono más dorado, agrega el jitomate y el chile serrano e integra perfectamente.', 'Regresa las papas al sartén y sazona con sal y pimienta, luego cocina por 6 minutos más. Ahora, agrega el queso Oaxaca desmenuzado y tapa para gratinar.', 'Sirve las papas a la mexicana en la sartén y acompaña con tortillas y salsa verde.']",https://cdn7.kiwilimon.com/brightcove/9335/9335.jpg
